id,state,abbr,poverty,povertyMoe,age,ageMoe,income,incomeMoe,healthcare,healthcareLow,healthcareHigh,obesity,obesityLow,obesityHigh,smokes,smokesLow,smokesHigh,-0.385218228
1,Fresno,Fresno,76.3,76.3,38.6,0.2,1.525547445,1.525547445,0.738960494,0.738960494,0.738960494,909.14,909.14,909.14,131.64,131.64,131.64,
2,Ontario,Ontario,72.5,72.5,33.3,0.3,1.700734803,1.700734803,0.487758515,0.487758515,0.487758515,782.26,782.26,782.26,60.66,60.66,60.66,
4,Fresno,Fresno,86.8,86.8,36.9,0.1,1.313253012,1.313253012,1.689462296,1.689462296,1.689462296,576.52,576.52,576.52,142.12,142.12,142.12,
5,Stockton,Stockton,61.3,61.3,37.8,0.2,2.221695317,2.221695317,0.767592221,0.767592221,0.767592221,1305.01,1305.01,1305.01,142.17,142.17,142.17,
6,Fresno,Fresno,66.4,66.4,36,0.1,2.230524642,2.230524642,0.066580527,0.066580527,0.066580527,435.16,435.16,435.16,90.48,90.48,90.48,
8,Los Angeles,Los Angeles,66.4,66.4,36.3,0.1,1.884858044,1.884858044,2.819549319,2.819549319,2.819549319,2943.44,2943.44,2943.44,68.74,68.74,68.74,
9,Stockton,Stockton,76.2,76.2,40.5,0.2,0.893886967,0.893886967,2.671814851,2.671814851,2.671814851,885.52,885.52,885.52,169.56,169.56,169.56,
10,Fresno,Fresno,74.5,74.5,39.6,0.3,1.493440969,1.493440969,0.819298028,0.819298028,0.819298028,243.54,243.54,243.54,142.28,142.28,142.28,
11,Los Angeles,Los Angeles,75.7,75.7,33.8,0.2,1.065270936,1.065270936,1.999513509,1.999513509,1.999513509,2810.82,2810.82,2810.82,58.03,58.03,58.03,
12,Fresno,Fresno,83.4,83.4,41.6,0.1,1.645914397,1.645914397,1.527949886,1.527949886,1.527949886,815.36,815.36,815.36,107.8,107.8,107.8,
13,Modesto,Modesto,78.3,78.3,36.1,0.1,1.489700375,1.489700375,0.90223668,0.90223668,0.90223668,606.03,606.03,606.03,94.54,94.54,94.54,
15,Bakersfield,Bakersfield,73.8,73.8,38.1,0.2,1.727785002,1.727785002,1.503161767,1.503161767,1.503161767,675.16,675.16,675.16,89.83,89.83,89.83,
16,Fresno,Fresno,89.5,89.5,35.9,0.2,0.801201529,0.801201529,3.006639349,3.006639349,3.006639349,591.37,591.37,591.37,118.86,118.86,118.86,
17,Fresno,Fresno,70.7,70.7,37.5,0.2,1.703170029,1.703170029,0.97329202,0.97329202,0.97329202,347.88,347.88,347.88,89.51,89.51,89.51,
