id,state,abbr,pollution,poverty,ageMoe,cars,density,traffic,asthma,-0.385218228
1,Fresno,Fresno,9.85,76.3,0.2,1.525547445,0.738960494,909.14,131.64,
2,Ontario,Ontario,10,72.5,0.3,1.700734803,0.487758515,782.26,60.66,
4,Fresno,Fresno,8.76,86.8,0.1,1.313253012,1.689462296,576.52,142.12,
5,Stockton,Stockton,9.17,61.3,0.2,2.221695317,0.767592221,1305.01,142.17,
6,Fresno,Fresno,9.88,66.4,0.1,2.230524642,0.066580527,435.16,90.48,
8,Los Angeles,Los Angeles,9.45,66.4,0.1,1.884858044,2.819549319,2943.44,68.74,
9,Stockton,Stockton,8.41,76.2,0.2,0.893886967,2.671814851,885.52,169.56,
10,Fresno,Fresno,8.24,74.5,0.3,1.493440969,0.819298028,243.54,142.28,
11,Los Angeles,Los Angeles,9.5,75.7,0.2,1.065270936,1.999513509,2810.82,58.03,
12,Fresno,Fresno,9.1,83.4,0.1,1.645914397,1.527949886,815.36,107.8,
13,Modesto,Modesto,8.86,78.3,0.1,1.489700375,0.90223668,606.03,94.54,
15,Bakersfield,Bakersfield,8.7,73.8,0.2,1.727785002,1.503161767,675.16,89.83,
16,Fresno,Fresno,8.41,89.5,0.2,0.801201529,3.006639349,591.37,118.86,
17,Fresno,Fresno,8.71,70.7,0.2,1.703170029,0.97329202,347.88,89.51,
18,Los Angeles,Los Angeles,9.31,78.3,0.2,1.12,2.622222815,887.21,68.74,
19,Fresno,Fresno,7.98,77.5,0.1,1.219494048,2.760214539,170.75,142.28,
20,Gardena,Gardena,9.85,53.4,0.1,2.067307692,5.140793968,2467.25,66.49,
21,Fresno,Fresno,9.35,77.8,0.2,1.518610422,1.438189373,291.45,78.61,
22,Fresno,Fresno,8.07,76.5,0.1,1.668789809,0.165482834,127.2,142.28,
23,Fresno,Fresno,8.27,78.7,0.2,1.406635071,2.261875938,434.57,142.28,
24,Los Angeles,Los Angeles,8.15,76.3,0.1,1.657894737,3.254946292,930.42,91.39,
25,Los Angeles,Los Angeles,9.43,65.3,0.2,0.736570248,1.525247996,1929.83,149.88,
26,Stockton,Stockton,8.71,79.5,0.1,1.381967213,2.761742425,1022.65,123.86,
27,Fresno,Fresno,8.24,80.8,0.1,1.5,1.536252845,195.77,142.28,
28,Stockton,Stockton,8.03,86,0.2,0.648554913,3.788655914,495.25,176.3,
29,Modesto,Modesto,8.16,73.5,0.1,1.651162791,2.348461079,910.22,95.77,
30,San Bernardino,San Bernardino,7.89,74,0.3,1.503409091,1.473238644,847.17,121.39,
31,Los Angeles,Los Angeles,8.25,75.4,0.2,1.928673324,3.67913783,1094.36,88.42,
32,Fresno,Fresno,7.98,65.6,0.2,1.565566459,0.547809022,438.28,142.18,
33,Riverside,Riverside,8.45,56.2,0.3,1.138092061,2.444276569,1045.59,108.89,
34,Selma,Selma,8.51,71.2,0.2,1.841318908,0.552033277,543.06,101.34,
35,Los Angeles,Los Angeles,7.7,76,0.2,1.483310153,9.586894095,2521.07,105.29,
36,Compton,Compton,9.34,34.1,0.1,2.13608871,0.482106495,1418.39,106.87,
