,Unnamed: 0,Census Tract,Total Population,California County,ZIP,Nearby City,Longitude,Latitude,Traffic,Traffic Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Poverty,Poverty Pctl,pct_renter_occupied_hu,median_gross_rent,autos_per_hh,gross_hh_density,median_hh_income,avg_hh_size
61,61,6037205110,3766,Los Angeles,90023,Los Angeles,-118.2142985,34.0245059,974.3,66.42,70.49,8.68,98.78,68.74,77.63,78.8,97.9,100.0,1165.0,1.335315101,11.86022967,41344.0,4.75
64,64,6037219901,5234,Los Angeles,90016,Los Angeles,-118.3605226,34.029737700000005,3125.62,97.74,63.59,7.83,95.03,100.42,92.92,74.8,96.05,69.90291262,1044.0,1.585298197,11.11769104,28846.0,3.08
83,84,6037239701,4261,Los Angeles,90003,Los Angeles,-118.2752632,33.966092,4775.03,99.89,56.75,6.99,86.53,95.56,91.35,79.2,98.06,70.37392138,989.0,1.4745925219999998,10.30266389,30915.0,4.57
107,108,6037242600,4409,Los Angeles,90059,Los Angeles,-118.2502423,33.932376,3279.99,98.13,57.62,7.1,87.88,105.29,93.67,88.1,99.69,93.38006231,513.0,0.9711838009999999,10.91646464,14483.0,3.87
138,140,6037206200,3386,Los Angeles,90012,Los Angeles,-118.2415978,34.046994,614.69,43.13,72.0,8.87,99.17,67.73,76.62,72.2,94.47,83.79052369,492.0,0.692269327,14.02004294,19968.0,1.45
145,147,6037302302,4895,Los Angeles,91204,Glendale,-118.261783,34.1403264,854.2,60.31,68.65,8.46,98.22,72.69,80.41,48.5,71.46,91.49054505,1237.0,1.355951057,11.49424452,45321.0,2.83
178,180,6037302505,3749,Los Angeles,91205,Glendale,-118.253081,34.127303600000005,784.56,55.8,59.65,7.35,91.08,54.47,62.26,65.5,89.49,94.44058374,1178.0,1.4044475330000001,10.85459395,34779.0,2.88
200,202,6037535606,1860,Los Angeles,90280,South Gate,-118.2252846,33.94765570000001,1060.77,70.23,59.96,7.39,91.51,46.23,51.3,76.9,97.34,65.97938144,928.0,1.55257732,10.56417369,30977.0,4.01
219,222,6037575802,5167,Los Angeles,90813,Long Beach,-118.197207,33.778962,584.65,39.79,54.81,6.75,83.34,122.08,96.73,76.4,97.2,86.86413393,937.0,1.126851256,19.58234606,29074.0,3.41
221,224,6037229300,5498,Los Angeles,90011,Los Angeles,-118.2706778,33.9979135,867.02,61.01,57.63,7.1,87.92,63.52,73.07,87.3,99.62,77.62128326,1121.0,1.370109546,10.29406067,31044.0,4.5
