,Unnamed: 0,Census Tract,Total Population,California County,ZIP,Nearby City,Longitude,Latitude,Traffic,Traffic Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Poverty,Poverty Pctl,pct_renter_occupied_hu,median_gross_rent,autos_per_hh,gross_hh_density,median_hh_income,avg_hh_size
16,16,6037291220,3353,Los Angeles,90247,Gardena,-118.286709,33.8771395,2467.25,94.72,79.99,9.85,99.96,66.49,75.48,53.4,77.32,61.25,1051.0,2.067307692,5.1407939680000005,47895.0,3.67
31,31,6037243100,5350,Los Angeles,90059,Los Angeles,-118.2350934,33.9327963,2521.07,95.1,62.55,7.7,94.35,105.29,93.67,76.0,96.9,70.93184979,762.0,1.4833101530000001,9.586894095,23698.0,4.37
34,34,6037204600,4101,Los Angeles,90023,Los Angeles,-118.2158297,34.0366414,2937.84,97.16,69.56,8.57,98.53,73.07,80.6,71.0,93.73,79.76929902,981.0,1.36823425,8.084027376,34332.0,3.81
35,35,6037227010,4662,Los Angeles,90011,Los Angeles,-118.2469968,34.0185256,982.78,66.89,70.16,8.64,98.68,64.02,73.52,72.2,94.47,75.34883721,1099.0,1.533953488,7.511036588,32035.0,4.46
39,39,6037206032,5275,Los Angeles,90033,Los Angeles,-118.2246242,34.046259,2658.05,95.91,75.09,9.25,99.7,95.89,91.51,69.2,92.46,81.55161881,834.0,1.163103238,6.9073346970000005,31336.0,3.27
41,41,6037239501,3454,Los Angeles,90001,Los Angeles,-118.2628927,33.9729857,1289.16,77.92,62.84,7.74,94.54,72.52,80.31,72.2,94.47,64.81069042,1013.0,1.662583519,7.663397412999999,31000.0,4.0
44,44,6037203100,4839,Los Angeles,90033,Los Angeles,-118.19647659999998,34.059079,2969.91,97.28,69.75,8.59,98.57,76.55,82.86,76.1,96.96,84.88745981,799.0,1.333601286,7.657342966,25515.0,3.76
48,48,6037185320,3081,Los Angeles,90065,Los Angeles,-118.2242419,34.088719399999995,1781.48,88.13,69.11,8.51,98.34,69.42,78.29,65.6,89.58,65.34883721,979.0,1.624418605,5.9202702270000005,37500.0,3.57
52,52,6037531302,6709,Los Angeles,90023,Los Angeles,-118.1827241,34.0169019,3299.97,98.21,72.5,8.93,99.28,55.5,63.56,65.6,89.58,64.80519481,1148.0,1.778571429,7.051950732000001,39085.0,4.56
61,61,6037205110,3766,Los Angeles,90023,Los Angeles,-118.2142985,34.0245059,974.3,66.42,70.49,8.68,98.78,68.74,77.63,78.8,97.9,100.0,1165.0,1.335315101,11.86022967,41344.0,4.75
64,64,6037219901,5234,Los Angeles,90016,Los Angeles,-118.3605226,34.029737700000005,3125.62,97.74,63.59,7.83,95.03,100.42,92.92,74.8,96.05,69.90291262,1044.0,1.585298197,11.11769104,28846.0,3.08
65,65,6037534202,5790,Los Angeles,90201,Bell,-118.1611103,33.959603,713.01,51.1,65.64,8.08,96.6,48.15,53.9,75.4,96.48,86.82295877,1140.0,1.789005659,8.58553711,32883.0,4.66
66,66,6037540400,2384,Los Angeles,90059,Los Angeles,-118.2282398,33.932675399999994,2333.93,93.76,66.07,8.14,96.86,90.58,89.58,80.2,98.43,55.39419087,963.0,1.9170124480000001,5.741802167,41447.0,5.35
72,72,6037242100,2714,Los Angeles,90002,Los Angeles,-118.23363290000002,33.945396,832.63,59.11,64.04,7.89,95.48,88.42,88.88,87.2,99.6,100.0,524.0,0.88707483,6.471599191,14728.0,3.96
74,74,6037302401,5944,Los Angeles,91204,Glendale,-118.2597456,34.1316179,805.67,57.15,70.33,8.66,98.73,67.93,76.87,49.4,72.47,89.44241316,1173.0,1.331352834,6.457781558,35187.0,2.88
76,76,6037204820,2274,Los Angeles,90023,Los Angeles,-118.2058412,34.023816100000005,3666.72,98.97,72.29,8.9,99.23,68.74,77.63,50.7,74.0,49.31506849,1056.0,1.690802348,6.459427084,40815.0,4.43
78,78,6073004900,5028,San Diego,92113,San Diego,-117.138677,32.7018526,1565.15,84.33,62.39,7.68,94.2,127.1,97.23,72.6,94.7,81.93681319,983.0,1.3873626369999998,7.595568713,31903.0,3.76
79,79,6037229420,4729,Los Angeles,90011,Los Angeles,-118.26081770000002,33.9925311,974.32,66.44,65.41,8.06,96.45,61.02,70.23,71.3,93.89,61.80094787,1089.0,1.615165877,7.308720287000001,31182.0,4.54
83,84,6037239701,4261,Los Angeles,90003,Los Angeles,-118.2752632,33.966092,4775.03,99.89,56.75,6.99,86.53,95.56,91.35,79.2,98.06,70.37392138,989.0,1.4745925219999998,10.30266389,30915.0,4.57
85,86,6037570301,7330,Los Angeles,90805,Long Beach,-118.1922187,33.8676075,1554.95,84.12,62.12,7.65,93.91,87.56,88.28,52.6,76.32,74.45091887,988.0,1.6302106680000001,7.786838059,38528.0,3.5
87,88,6037128302,4688,Los Angeles,91411,Van Nuys,-118.4605367,34.1838638,1595.64,84.81,60.55,7.46,92.35,66.93,76.03,71.6,94.03,82.90540541,1104.0,1.427702703,8.694453317,35313.0,3.41
91,92,6037533001,4527,Los Angeles,90001,Los Angeles,-118.24555,33.9802221,790.07,56.18,59.99,7.39,91.59,79.03,84.58,74.7,95.99,77.15639809999999,998.0,1.6037914690000001,8.937997577,33013.0,4.2
93,94,6037532800,4409,Los Angeles,90001,Los Angeles,-118.2520926,33.9864059,1005.81,68.03,61.03,7.52,92.83,78.89,84.2,76.3,97.12,70.86294416,964.0,1.715736041,7.2339501660000005,34970.0,4.39
94,95,6037239601,3755,Los Angeles,90003,Los Angeles,-118.2752977,33.97283710000001,4021.64,99.45,58.58,7.21,89.51,95.56,91.35,77.2,97.44,75.70754717,1024.0,1.5117924530000002,8.12651891,34477.0,4.29
