GEOID,pct_renter_occupied_hu,median_gross_rent,autos_per_hh,gross_hh_density,median_hh_income,avg_hh_size
6031000100,47.65234765,767,2.325674326,0.015873681,68897,3.06
6093000100,55.14403292,608,1.829218107,0.002285941,33000,2.74
6107000100,14.42676906,849,2.286889742,0.002704905,66188,2.51
6063000100,36.43512451,871,1.882481433,0.062839241,50966,2.33
6077000100,98.09248555,551,0.648554913,3.788655914,14800,2.25
6027000100,12.35059761,763,1.779282869,0.006211101,44886,2.09
6033000100,29.06367041,1236,2.182771536,0.004526596,33405,2.53
6023000100,81.58311346,735,1.243799472,1.987338849,26291,2.02
6111000100,22.59136213,1264,2.059800664,0.000511844,56534,2.18
6067000100,26.77725118,1148,1.779620853,3.516516558,104271,2.2
6069000100,31.30434783,1284,2.856856187,0.015325771,80766,3.39
6073000100,12.6552795,1645,2.034937888,3.381451769,127353,2.15
6011000100,35.96660244,903,2.442517662,0.011135948,61781,3.32
6049000100,32.90362185,755,1.827501535,0.23741935,33295,2.06
6103000100,28.00460035,727,2.055779183,0.002350906,41935,2.5
6019000100,100,297,0.501945525,2.466194883,11774,1.29
6099000101,26.39046538,927,2.224177072,0.016589481,73913,2.71
6051000101,22.17774219,783,2.164931946,0.001219817,54042,2.59
6005000101,12.96390442,1231,1.988307067,0.126314839,49766,2.05
6015000101,76.86104218,745,1.094292804,2.458992603,27563,2.36
6053000101,21.92982456,1629,2.628070175,0.221804216,65341,3.68
6029000101,55.33938608,1039,1.73973195,0.913791037,55677,2.82
6043000101,46.94610778,911,1.846706587,0.014979479,43190,2.13
6105000101,26.0131951,869,2.106503299,0.003014712,34877,2.36
6083000101,27.40364252,1220,1.853451927,2.51934278,54250,2.37
6099000102,22.68786127,839,2.575867052,0.025109034,87143,3.03
6007000102,33.82259094,973,1.680280791,2.38470322,52969,2.63
6051000102,27.8021978,855,1.7,0.001027843,49103,2.9
6005000102,23.39832869,1173,2.08913649,0.006369109,47969,2.43
6015000102,29.43368107,816,1.681073025,0.24226376,34292,2.52
6039000102,21.76436448,871,2.039466048,0.003936883,52639,2.35
6053000102,41.11986002,1621,2.480314961,4.460834341,75556,4.32
6029000102,53.06122449,927,1.542857143,2.857532135,42008,2.65
