,Census Tract,Total Population,California County,ZIP,Nearby City,Longitude,Latitude,Traffic,Traffic Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Poverty,Poverty Pctl
0,6019001100,3174,Fresno ,93706,Fresno,-119.78169609999999,36.709695200000006,909.14,62.98,79.96,9.85,99.95,131.64,97.67,76.3,97.12
1,6071001600,6133,San Bernardino,91761,Ontario,-117.6180131,34.0577805,782.26,55.66,81.19,10.0,100.0,60.66,69.78,72.5,94.63
2,6019000200,3167,Fresno ,93706,Fresno,-119.8055044,36.7354914,576.52,39.0,71.16,8.76,99.0,142.12,98.33,86.8,99.56
3,6077000801,6692,San Joaquin,95203,Stockton,-121.3145235,37.9405169,1305.01,78.29,74.48,9.17,99.59,142.17,98.34,61.3,85.57
4,6019001500,2206,Fresno ,93725,Fresno,-119.71784270000002,36.6816,435.16,24.3,80.2,9.88,99.99,90.48,89.54,66.4,90.23
5,6037204920,2598,Los Angeles,90023,Los Angeles,-118.19749750000001,34.017500399999996,2943.44,97.19,76.73,9.45,99.88,68.74,77.63,66.4,90.23
6,6077000300,2396,San Joaquin,95203,Stockton,-121.30207240000001,37.952421,885.52,61.94,68.27,8.41,98.07,169.56,99.36,76.2,97.03
7,6019001000,4106,Fresno ,93706,Fresno,-119.80431399999999,36.69775070000001,243.54,7.97,66.88,8.24,97.35,142.28,98.42,74.5,95.9
8,6037206050,2146,Los Angeles,90023,Los Angeles,-118.22445309999999,34.029903600000004,2810.82,96.63,77.09,9.5,99.9,58.03,66.53,75.7,96.64
9,6019000400,6343,Fresno ,93721,Fresno,-119.7762091,36.7276563,815.36,57.96,73.89,9.1,99.48,107.8,94.23,83.4,99.08
10,6099002100,4165,Stanislaus ,95354,Modesto,-120.9667385,37.6287607,606.03,42.26,71.92,8.86,99.15,94.54,91.09,78.3,97.74
11,6029002500,9122,Kern ,93307,Bakersfield,-118.9920281,35.3372541,675.16,48.16,70.64,8.7,98.82,89.83,89.19,73.8,95.55
12,6019000600,6161,Fresno ,93721,Fresno,-119.79335649999999,36.743063,591.37,40.59,68.31,8.41,98.11,118.86,96.21,89.5,99.8
13,6019001201,5936,Fresno ,93725,Fresno,-119.7577716,36.710752299999996,347.88,16.22,70.73,8.71,98.86,89.51,89.07,70.7,93.51
14,6037205120,3618,Los Angeles,90023,Los Angeles,-118.2117956,34.0187546,887.21,62.0,75.61,9.31,99.75,68.74,77.63,78.3,97.74
15,6019000902,5252,Fresno ,93706,Fresno,-119.80427720000002,36.717769,170.75,4.17,64.75,7.98,95.98,142.28,98.42,77.5,97.54
16,6037291220,3353,Los Angeles,90247,Gardena,-118.286709,33.8771395,2467.25,94.72,79.99,9.85,99.96,66.49,75.48,53.4,77.32
17,6019001202,4756,Fresno ,93725,Fresno,-119.7410277,36.7026849,291.45,11.43,75.94,9.35,99.78,78.61,84.04,77.8,97.6
18,6019000800,964,Fresno ,93706,Fresno,-119.831179,36.7067181,127.2,2.28,65.5,8.07,96.52,142.28,98.42,76.5,97.22
19,6019000300,3609,Fresno ,93706,Fresno,-119.8010347,36.726462,434.57,24.21,67.17,8.27,97.5,142.28,98.42,78.7,97.88
20,6037239202,4724,Los Angeles,90001,Los Angeles,-118.26497649999999,33.9856783,930.42,64.09,66.16,8.15,96.91,91.39,89.8,76.3,97.12
21,6037226002,1604,Los Angeles,90021,Los Angeles,-118.2477686,34.0326196,1929.83,90.16,76.54,9.43,99.83,149.88,98.64,65.3,89.3
22,6077000700,5269,San Joaquin,95206,Stockton,-121.28787290000001,37.9431727,1022.65,68.81,70.73,8.71,98.84,123.86,96.93,79.5,98.19
23,6019000901,3151,Fresno ,93706,Fresno,-119.804301,36.710469700000004,195.77,5.28,66.91,8.24,97.37,142.28,98.42,80.8,98.62
24,6077000100,3863,San Joaquin,95202,Stockton,-121.2853628,37.953996000000004,495.25,30.29,65.16,8.03,96.3,176.3,99.53,86.0,99.42
25,6099002302,4010,Stanislaus ,95351,Modesto,-120.98275600000001,37.6209695,910.22,63.1,66.29,8.16,97.0,95.77,91.39,73.5,95.31
26,6071004900,7590,San Bernardino,92410,San Bernardino,-117.31687920000002,34.100314000000004,847.17,59.82,64.02,7.89,95.44,121.39,96.61,74.0,95.65
27,6037535400,3495,Los Angeles,90002,Los Angeles,-118.23142050000001,33.947117,1094.36,71.48,66.98,8.25,97.41,88.42,88.88,75.4,96.48
28,6019000700,3921,Fresno ,93706,Fresno,-119.82770690000001,36.7345353,438.28,24.68,64.75,7.98,96.0,142.18,98.35,65.6,89.58
