,census_tract,total_population,county,zip,nearby_city,longitude,latitude,traffic,pollution_score,asthma,poverty
0,6019001100,3174,Fresno ,93706,Fresno,-119.7816961,36.7096952,909.14,9.85,131.64,76.3
1,6071001600,6133,San Bernardino,91761,Ontario,-117.6180131,34.0577805,782.26,10,60.66,72.5
2,6019000200,3167,Fresno ,93706,Fresno,-119.8055044,36.7354914,576.52,8.76,142.12,86.8
3,6077000801,6692,San Joaquin,95203,Stockton,-121.3145235,37.9405169,1305.01,9.17,142.17,61.3
4,6019001500,2206,Fresno ,93725,Fresno,-119.7178427,36.6816,435.16,9.88,90.48,66.4
5,6037204920,2598,Los Angeles,90023,Los Angeles,-118.1974975,34.0175004,2943.44,9.45,68.74,66.4
6,6077000300,2396,San Joaquin,95203,Stockton,-121.3020724,37.952421,885.52,8.41,169.56,76.2
7,6019001000,4106,Fresno ,93706,Fresno,-119.804314,36.6977507,243.54,8.24,142.28,74.5
8,6037206050,2146,Los Angeles,90023,Los Angeles,-118.2244531,34.0299036,2810.82,9.5,58.03,75.7
9,6019000400,6343,Fresno ,93721,Fresno,-119.7762091,36.7276563,815.36,9.1,107.8,83.4
10,6099002100,4165,Stanislaus ,95354,Modesto,-120.9667385,37.6287607,606.03,8.86,94.54,78.3
11,6029002500,9122,Kern ,93307,Bakersfield,-118.9920281,35.3372541,675.16,8.7,89.83,73.8
12,6019000600,6161,Fresno ,93721,Fresno,-119.7933565,36.743063,591.37,8.41,118.86,89.5
13,6019001201,5936,Fresno ,93725,Fresno,-119.7577716,36.7107523,347.88,8.71,89.51,70.7
14,6037205120,3618,Los Angeles,90023,Los Angeles,-118.2117956,34.0187546,887.21,9.31,68.74,78.3
15,6019000902,5252,Fresno ,93706,Fresno,-119.8042772,36.717769,170.75,7.98,142.28,77.5
16,6037291220,3353,Los Angeles,90247,Gardena,-118.286709,33.8771395,2467.25,9.85,66.49,53.4
17,6019001202,4756,Fresno ,93725,Fresno,-119.7410277,36.7026849,291.45,9.35,78.61,77.8
18,6019000800,964,Fresno ,93706,Fresno,-119.831179,36.7067181,127.2,8.07,142.28,76.5
19,6019000300,3609,Fresno ,93706,Fresno,-119.8010347,36.726462,434.57,8.27,142.28,78.7
20,6037239202,4724,Los Angeles,90001,Los Angeles,-118.2649765,33.9856783,930.42,8.15,91.39,76.3
21,6037226002,1604,Los Angeles,90021,Los Angeles,-118.2477686,34.0326196,1929.83,9.43,149.88,65.3
22,6077000700,5269,San Joaquin,95206,Stockton,-121.2878729,37.9431727,1022.65,8.71,123.86,79.5
23,6019000901,3151,Fresno ,93706,Fresno,-119.804301,36.7104697,195.77,8.24,142.28,80.8
24,6077000100,3863,San Joaquin,95202,Stockton,-121.2853628,37.953996,495.25,8.03,176.3,86
25,6099002302,4010,Stanislaus ,95351,Modesto,-120.982756,37.6209695,910.22,8.16,95.77,73.5
26,6071004900,7590,San Bernardino,92410,San Bernardino,-117.3168792,34.100314,847.17,7.89,121.39,74
27,6037535400,3495,Los Angeles,90002,Los Angeles,-118.2314205,33.947117,1094.36,8.25,88.42,75.4
28,6019000700,3921,Fresno ,93706,Fresno,-119.8277069,36.7345353,438.28,7.98,142.18,65.6
29,6065030300,4497,Riverside ,92501,Riverside,-117.3763853,33.9798271,1045.59,8.45,108.89,56.2
30,6019007100,7904,Fresno ,93662,Selma,-119.6279131,36.5629769,543.06,8.51,101.34,71.2
31,6037243100,5350,Los Angeles,90059,Los Angeles,-118.2350934,33.9327963,2521.07,7.7,105.29,76
32,6037543305,2666,Los Angeles,90220,Compton,-118.2238692,33.8611473,1418.39,9.34,106.87,34.1
33,6071005701,2216,San Bernardino,92401,San Bernardino,-117.2926063,34.1006404,747.98,7.62,131.79,89.3
34,6037204600,4101,Los Angeles,90023,Los Angeles,-118.2158297,34.0366414,2937.84,8.57,73.07,71
35,6037227010,4662,Los Angeles,90011,Los Angeles,-118.2469968,34.0185256,982.78,8.64,64.02,72.2
36,6099002301,7841,Stanislaus ,95351,Modesto,-121.0188436,37.6049206,1090.88,8.09,79.42,65.6
37,6019000100,2860,Fresno ,93721,Fresno,-119.7927732,36.7369244,305.84,8.25,69.87,84.1
38,6077001900,5592,San Joaquin,95205,Stockton,-121.2605554,37.9516762,824.07,8.22,94.01,75.5
39,6037206032,5275,Los Angeles,90033,Los Angeles,-118.2246242,34.046259,2658.05,9.25,95.89,69.2
40,6037226001,2068,Los Angeles,90021,Los Angeles,-118.2502739,34.0244835,2289.68,9.03,87.25,79.3
41,6037239501,3454,Los Angeles,90001,Los Angeles,-118.2628927,33.9729857,1289.16,7.74,72.52,72.2
42,6019002000,6369,Fresno ,93728,Fresno,-119.8328803,36.7572824,827.41,8.02,91.21,80.7
43,6077005119,6006,San Joaquin,95330,Lathrop,-121.3027448,37.8446844,1088.07,9.87,65.67,34.7
44,6037203100,4839,Los Angeles,90033,Los Angeles,-118.1964766,34.059079,2969.91,8.59,76.55,76.1
45,6037530700,2213,Los Angeles,90063,Los Angeles,-118.183979,34.0592143,1829.52,8.41,54.46,54.3
46,6073005000,2227,San Diego,92113,San Diego,-117.1411746,32.6948502,1144.32,7.95,127.1,82.8
47,6037301601,6198,Los Angeles,91201,Glendale,-118.2865467,34.1623874,2095.06,9.44,32.65,49.9
48,6037185320,3081,Los Angeles,90065,Los Angeles,-118.2242419,34.0887194,1781.48,8.51,69.42,65.6
49,6037543202,4867,Los Angeles,90220,Compton,-118.230032,33.8798617,1641.48,8.31,110.81,62.9
50,6065030502,2220,Riverside ,92507,Riverside,-117.3560514,33.9857419,1545.2,8.73,61.55,64.8
51,6071012500,4268,San Bernardino,92324,Colton,-117.3233041,34.0602092,1617.04,8.09,95.84,70
52,6037531302,6709,Los Angeles,90023,Los Angeles,-118.1827241,34.0169019,3299.97,8.93,55.5,65.6
53,6019001301,5653,Fresno ,93702,Fresno,-119.7499923,36.732259,562.71,7.22,119.79,82.7
54,6019002502,5431,Fresno ,93702,Fresno,-119.7634654,36.7540827,1119.37,7.06,115.44,87.5
55,6037402801,5170,Los Angeles,91766,Pomona,-117.7349296,34.0542821,648.27,8.21,66.33,71.8
56,6019001304,5796,Fresno ,93702,Fresno,-119.7455349,36.7250147,365.32,7.63,116.56,81.4
57,6077002201,2771,San Joaquin,95206,Stockton,-121.2686436,37.9313083,318.32,7.29,128.15,68.3
58,6037532304,3987,Los Angeles,90040,Los Angeles,-118.1526793,33.9862905,1825.61,9.35,56.67,47.7
59,6019001303,2888,Fresno ,93702,Fresno,-119.7591482,36.7250069,347.82,7.26,98.82,92.1
60,6029002200,6537,Kern ,93307,Bakersfield,-118.9879161,35.3613217,583.48,7.21,89.83,80.6
61,6037205110,3766,Los Angeles,90023,Los Angeles,-118.2142985,34.0245059,974.3,8.68,68.74,78.8
62,6037570502,6616,Los Angeles,90805,Long Beach,-118.1668021,33.8674703,1191.12,8.25,87.58,45.2
63,6037291210,4967,Los Angeles,90247,Gardena,-118.2870814,33.8886904,2498.31,9.3,70.23,53
64,6037219901,5234,Los Angeles,90016,Los Angeles,-118.3605226,34.0297377,3125.62,7.83,100.42,74.8
65,6037534202,5790,Los Angeles,90201,Bell,-118.1611103,33.959603,713.01,8.08,48.15,75.4
66,6037540400,2384,Los Angeles,90059,Los Angeles,-118.2282398,33.9326754,2333.93,8.14,90.58,80.2
67,6065046700,4442,Riverside ,92518,March Air Reserve Base,-117.278368,33.8891026,1258.41,8.32,66.89,67.8
68,6029002301,9743,Kern ,93307,Bakersfield,-118.9452577,35.3590376,509.04,7.64,86.67,76.3
69,6071002501,5840,San Bernardino,92335,Fontana,-117.4772152,34.0743336,1666.33,8.62,69.46,50
70,6019008502,7929,Fresno ,93648,Parlier,-119.5507133,36.6214407,293.05,7.57,102.83,74.7
71,6019000502,3606,Fresno ,93701,Fresno,-119.781537,36.7444057,982.2,7.45,124.96,80.7
72,6037242100,2714,Los Angeles,90002,Los Angeles,-118.2336329,33.945396,832.63,7.89,88.42,87.2
73,6037203500,3064,Los Angeles,90033,Los Angeles,-118.2185819,34.057226,3513.85,9.18,95.93,56.5
74,6037302401,5944,Los Angeles,91204,Glendale,-118.2597456,34.1316179,805.67,8.66,67.93,49.4
75,6067005301,1823,Sacramento ,95811,Sacramento,-121.4825199,38.5916037,1391.76,7.71,76.08,90.8
76,6037204820,2274,Los Angeles,90023,Los Angeles,-118.2058412,34.0238161,3666.72,8.9,68.74,50.7
77,6037532302,4707,Los Angeles,90023,Los Angeles,-118.1751711,34.0096885,2580.34,9.11,61.9,60.2
78,6073004900,5028,San Diego,92113,San Diego,-117.138677,32.7018526,1565.15,7.68,127.1,72.6
79,6037229420,4729,Los Angeles,90011,Los Angeles,-118.2608177,33.9925311,974.32,8.06,61.02,71.3
80,6037541001,1164,Los Angeles,90248,Gardena,-118.2749503,33.8934521,470.36,8.07,68.35,47.2
