,id,census_tract,total_population,county,zip,nearby_city,longitude,latitude,traffic,pollution_score,asthma,poverty,pct_renter_occupied_hu,median_gross_rent,autos_per_hh,gross_hh_density,median_hh_income,avg_hh_size
0,0,6019001100,3174,Fresno ,93706,Fresno,-119.7816961,36.7096952,909.14,9.85,131.64,76.3,58.10218978,889,1.525547445,0.738960494,27448,3.86
1,1,6071001600,6133,San Bernardino,91761,Ontario,-117.6180131,34.0577805,782.26,10,60.66,72.5,64.99665999,966,1.700734803,0.487758515,31203,3.83
2,2,6019000200,3167,Fresno ,93706,Fresno,-119.8055044,36.7354914,576.52,8.76,142.12,86.8,76.62650602,682,1.313253012,1.689462296,21331,3.7
3,3,6077000801,6692,San Joaquin,95203,Stockton,-121.3145235,37.9405169,1305.01,9.17,142.17,61.3,50.97806758,1147,2.221695317,0.767592221,46875,4.43
4,4,6019001500,2206,Fresno ,93725,Fresno,-119.7178427,36.6816,435.16,9.88,90.48,66.4,45.94594595,797,2.230524642,0.066580527,40469,3.62
5,5,6037204920,2598,Los Angeles,90023,Los Angeles,-118.1974975,34.0175004,2943.44,9.45,68.74,66.4,51.57728707,1071,1.884858044,2.819549319,36048,4.25
6,6,6077000300,2396,San Joaquin,95203,Stockton,-121.3020724,37.952421,885.52,8.41,169.56,76.2,91.00346021,539,0.893886967,2.671814851,17060,2.05
7,7,6019001000,4106,Fresno ,93706,Fresno,-119.804314,36.6977507,243.54,8.24,142.28,74.5,58.82946519,853,1.493440969,0.819298028,25014,3.98
8,8,6037206050,2146,Los Angeles,90023,Los Angeles,-118.2244531,34.0299036,2810.82,9.5,58.03,75.7,93.96551724,804,1.065270936,1.999513509,21700,2.78
9,9,6019000400,6343,Fresno ,93721,Fresno,-119.7762091,36.7276563,815.36,9.1,107.8,83.4,60.15564202,825,1.645914397,1.527949886,26002,4.3
10,10,6099002100,4165,Stanislaus ,95354,Modesto,-120.9667385,37.6287607,606.03,8.86,94.54,78.3,71.34831461,872,1.489700375,0.90223668,28208,3.3
11,11,6029002500,9122,Kern ,93307,Bakersfield,-118.9920281,35.3372541,675.16,8.7,89.83,73.8,61.8118769,760,1.727785002,1.503161767,29950,4.11
12,12,6019000600,6161,Fresno ,93721,Fresno,-119.7933565,36.743063,591.37,8.41,118.86,89.5,88.64008738,628,0.801201529,3.006639349,16802,2.7
13,13,6019001201,5936,Fresno ,93725,Fresno,-119.7577716,36.7107523,347.88,8.71,89.51,70.7,54.10662824,901,1.703170029,0.97329202,26250,3.83
14,14,6037205120,3618,Los Angeles,90023,Los Angeles,-118.2117956,34.0187546,887.21,9.31,68.74,78.3,87.36842105,969,1.12,2.622222815,27326,3.74
15,15,6019000902,5252,Fresno ,93706,Fresno,-119.8042772,36.717769,170.75,7.98,142.28,77.5,76.26488095,542,1.219494048,2.760214539,20298,3.77
16,16,6037291220,3353,Los Angeles,90247,Gardena,-118.286709,33.8771395,2467.25,9.85,66.49,53.4,61.25,1051,2.067307692,5.140793968,47895,3.67
17,17,6019001202,4756,Fresno ,93725,Fresno,-119.7410277,36.7026849,291.45,9.35,78.61,77.8,67.49379653,947,1.518610422,1.438189373,25453,3.98
18,18,6019000800,964,Fresno ,93706,Fresno,-119.831179,36.7067181,127.2,8.07,142.28,76.5,63.69426752,590,1.668789809,0.165482834,24167,3.8
19,19,6019000300,3609,Fresno ,93706,Fresno,-119.8010347,36.726462,434.57,8.27,142.28,78.7,62.8436019,653,1.406635071,2.261875938,28419,3.07
20,20,6037239202,4724,Los Angeles,90001,Los Angeles,-118.2649765,33.9856783,930.42,8.15,91.39,76.3,72.90448343,1140,1.657894737,3.254946292,32647,5.21
21,21,6037226002,1604,Los Angeles,90021,Los Angeles,-118.2477686,34.0326196,1929.83,9.43,149.88,65.3,85.95041322,632,0.736570248,1.525247996,29375,1.82
